1,1,2011,469.58,55.43,16.92
2,1,2009,527.51,72.56,16.20
3,1,2011,532.45,87.7,19.30
4,2,2009,112.6,62.96,3.73
5,1,2007,544.55,90.12,16.48
6,2,2011,489.80,99.91,15.16
7,2,2015,99.75,78.72,3.70
8,1,2014,496.84,80.28,18.73
9,2,2007,101.42,81.78,4.38
10,2,2010,104.26,83.3,3.20
11,2,2012,116.32,74.27,3.25
12,1,2009,644.91,83.40,19.56
13,1,2012,511.94,69.62,17.35
14,1,2007,502.22,56.92,15.57
15,1,2009,515.94,68.35,16.90
16,1,2009,510.38,92.47,18.82
17,2,2007,98.1,70.34,5.56
18,2,2012,112.38,87.93,3.87
19,2,2010,93.40,87.91,3.44
20,2,2013,183.10,51.15,4.4
